,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30,Topic31,Topic32,Topic33,Topic34,Topic35,Topic36,Topic37,Topic38,Topic39,Topic40,Topic41,Topic42,Topic43,Topic44,Topic45,Topic46,Topic47,Topic48,Topic49,dominant_topic
I Write Sins Not Tragedies,0.182637020945549,0.0,0.21148857474327087,0.0,0.0,0.0,0.08980453759431839,0.0801667720079422,0.0,0.0,0.11111736297607422,0.01622810773551464,0.0,0.0,0.03037201426923275,0.0,0.0,0.033754829317331314,0.0,0.0,0.0,0.027785860002040863,0.0,0.0,0.0,0.0,0.02811736986041069,0.0,0.0,0.0,0.0,0.0,0,0.0,0.010516226291656494,0.0,0.0,0.029095951467752457,0.018476730212569237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
The Taste of Ink,0.019149644300341606,0.014688078314065933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013219820335507393,0.0,0.028320953249931335,0.055749211460351944,0.0,0.0,0.02657662145793438,0.039207763969898224,0.10815052688121796,0.0,0.03700191527605057,0.02614867314696312,0.10666202753782272,0.0,0.0,0.0,0.0,0.0,0.0,0.12845368683338165,0.0,0,0.0,0.0,0.014426604844629765,0.0,0.023686286062002182,0.06364830583333969,0.021868864074349403,0.03332889825105667,0.0,0.0,0.0,0.0,0.14174462854862213,0.0,0.014509773813188076,0.012202918529510498,0.0,45
I Miss You,0.0,0.0,0.0,0.01379740983247757,0.027113674208521843,0.0,0.0,0.0,0.015508417971432209,0.027305562049150467,0.015393917448818684,0.02863733284175396,0.12456977367401123,0.05108112469315529,0.0,0.0,0.0,0.01887020841240883,0.0,0.0,0.07653891295194626,0.017632117494940758,0.010095476172864437,0.0,0.0,0.0,0.014700137078762054,0.06095479428768158,0.0,0.030133625492453575,0.01791703887283802,0.0,0,0.023240704089403152,0.0,0.0,0.0,0.11210949718952179,0.010577253066003323,0.025065742433071136,0.06183958053588867,0.07644195109605789,0.0,0.0,0.0,0.03426113352179527,0.014326048083603382,0.0,0.0,0.0,12
Banquet,0.0,0.0,0.010919636115431786,0.0,0.0,0.0,0.0,0.0,0.0283014178276062,0.0,0.0,0.0,0.0,0.06900656223297119,0.017232919111847878,0.028736962005496025,0.0,0.0,0.0,0.0,0.0,0.0,0.1894625574350357,0.0,0.0,0.0,0.0,0.0,0.014222778379917145,0.0,0.022667299956083298,0.0,0,0.0,0.0597994327545166,0.029649214819073677,0.0,0.016005709767341614,0.022237541154026985,0.0,0.0,0.0,0.0,0.0,0.025107380002737045,0.046617306768894196,0.014678931795060635,0.2760148346424103,0.01596907339990139,0.012020428664982319,47
Are You Gonna Be My Girl,0.06377706676721573,0.11223941296339035,0.04830791801214218,0.0,0.0,0.0,0.0,0.09624598175287247,0.0,0.0,0.0,0.0,0.0,0.06762715429067612,0.028277991339564323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045261114835739136,0.0,0.0,0.03675229474902153,0.0,0.04091564193367958,0.0,0.0,0.12667538225650787,0.0,0,0.0,0.0,0.028254762291908264,0.07758136093616486,0.0,0.08935833722352982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027320466935634613,0.0,30
Last Resort,0.013020078651607037,0.01176549680531025,0.0,0.017033366486430168,0.0575963519513607,0.0,0.0,0.0,0.0,0.05772172287106514,0.08353578299283981,0.0,0.10516168922185898,0.024397311732172966,0.0,0.0,0.0,0.0,0.02534293197095394,0.0,0.0,0.0,0.01093379408121109,0.019756708294153214,0.0,0.12205012887716293,0.017752643674612045,0.0,0.02503749169409275,0.0,0.0,0.0,0,0.02516133524477482,0.03644334524869919,0.0,0.03195282816886902,0.0,0.08335082978010178,0.0,0.0,0.0,0.0,0.0,0.0,0.02093210443854332,0.0,0.0,0.07385177165269852,0.04605729505419731,25
Best of You,0.018841076642274857,0.0,0.010512283071875572,0.0,0.0,0.04982103779911995,0.0,0.0,0.015708232298493385,0.0,0.01340568158775568,0.16714157164096832,0.0,0.06674015522003174,0.04145381227135658,0.01444822084158659,0.013501367531716824,0.0,0.03895390033721924,0.019664375111460686,0.026095066219568253,0.04276847094297409,0.05836029350757599,0.016725802794098854,0.0,0.0,0.0,0.0,0.03848549723625183,0.016390008851885796,0.0,0.013856911100447178,0,0.0,0.0,0.10253168642520905,0.0,0.0,0.034247033298015594,0.0,0.0,0.0,0.0,0.038110412657260895,0.0,0.0,0.0,0.0,0.03684632107615471,0.01462310180068016,11
Use Somebody,0.03935154154896736,0.0,0.09332254528999329,0.0,0.15311701595783234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024511264637112617,0.029645131900906563,0.1744425743818283,0.07594146579504013,0.0,0.010212206281721592,0.0,0.011941129341721535,0.0,0.0,0.052523937076330185,0.0,0.0,0.0,0.04115094989538193,0.011430565267801285,0.0,0.0,0.011252208612859249,0.0,0,0.0,0.05082829296588898,0.0,0.0,0.0,0.014817737974226475,0.0,0.0,0.0,0.0,0.0,0.0,0.0656646341085434,0.0,0.0,0.0,0.0,14
No One Knows,0.012954815290868282,0.026934385299682617,0.013260617852210999,0.0,0.0,0.07716236263513565,0.0,0.08769677579402924,0.0,0.0,0.0,0.0,0.0,0.011542879976332188,0.0,0.0,0.0,0.010536794550716877,0.0,0.02946493774652481,0.0,0.0,0.139039546251297,0.02526763640344143,0.0,0.0,0.0,0.0,0.02175847627222538,0.025372058153152466,0.011226139962673187,0.0,0,0.04097186401486397,0.10699943453073502,0.028084779158234596,0.0,0.04486708343029022,0.03401558846235275,0.0,0.023476701229810715,0.0,0.0,0.0,0.0,0.015157009474933147,0.06031249836087227,0.02660466730594635,0.0,0.02016066201031208,22
Your Touch,0.015121067874133587,0.011831692419946194,0.019792480394244194,0.0,0.0,0.0,0.0,0.0,0.0,0.03519899398088455,0.0,0.0,0.0,0.017013654112815857,0.011016595177352428,0.0,0.0,0.01533837616443634,0.0,0.017014313489198685,0.0,0.0407378263771534,0.049530379474163055,0.0,0.0,0.0,0.0,0.06443426758050919,0.0,0.037165019661188126,0.04442380741238594,0.31241944432258606,0,0.0,0.048810578882694244,0.011079173535108566,0.0,0.0,0.022255724295973778,0.0,0.0,0.0,0.0,0.0,0.0,0.02038618177175522,0.0,0.039217010140419006,0.0,0.0,31
Float On,0.0,0.0,0.02205502986907959,0.010801427997648716,0.0,0.0,0.0,0.0,0.012171135284006596,0.0,0.021329399198293686,0.012101857922971249,0.0,0.0,0.22621242702007294,0.0,0.0,0.0,0.10528260469436646,0.03839985653758049,0.0,0.0,0.0,0.0,0.0,0.16338714957237244,0.0,0.0,0.07645908743143082,0.012759433127939701,0.0,0.0,0,0.0,0.0,0.0,0.02221159264445305,0.012226274237036705,0.026839621365070343,0.0,0.01154214795678854,0.0,0.0,0.010575516149401665,0.0,0.0,0.0,0.022730059921741486,0.09692201018333435,0.0,14
Reptilia,0.0,0.0685834065079689,0.01191291306167841,0.0,0.0,0.0,0.0,0.10722815990447998,0.050777677446603775,0.0,0.0,0.0,0.0,0.0,0.0,0.01844109781086445,0.0,0.05518152564764023,0.0,0.0,0.0,0.0,0.044379279017448425,0.020653387531638145,0.0,0.0,0.018783504143357277,0.0,0.0,0.0,0.058288391679525375,0.0,0,0.0,0.027738425880670547,0.0,0.0,0.0,0.20373454689979553,0.0,0.0,0.0,0.0,0.0,0.0,0.09530877321958542,0.03372718393802643,0.052517056465148926,0.0,0.0,38
Judith,0.035149652510881424,0.055275123566389084,0.017428847029805183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05158713459968567,0.0,0.0,0.03188597783446312,0.03160763159394264,0.0,0.0,0.012564661912620068,0.027110623195767403,0.014545626007020473,0.0,0.010508192703127861,0.01771818846464157,0.12169229984283447,0.0,0.0297454334795475,0.0,0.0,0.0,0.0,0.013524251990020275,0.0,0,0.04940488189458847,0.05443418398499489,0.05699602887034416,0.03663324937224388,0.12074742466211319,0.01820053905248642,0.0,0.0,0.0,0.0,0.0,0.0,0.06504403799772263,0.0,0.0,0.0,0.0,23
Welcome Home,0.13228555023670197,0.0,0.01222656387835741,0.0,0.0,0.0,0.0,0.0,0.0,0.03779294341802597,0.0,0.0568636953830719,0.0,0.010568696074187756,0.0,0.01779424585402012,0.0,0.011077617295086384,0.040720317512750626,0.010379831306636333,0.0,0.0,0.012996891513466835,0.0,0.0,0.05318310484290123,0.0,0.0,0.0,0.022119078785181046,0.14362233877182007,0.04083678871393204,0,0.0,0.05177035182714462,0.0,0.0,0.0,0.060897693037986755,0.0,0.0,0.035031139850616455,0.06757912039756775,0.0,0.01720820553600788,0.012727972120046616,0.0,0.0,0.0,0.033810850232839584,30
Understanding In A Car Crash,0.010064319707453251,0.0,0.017766915261745453,0.0,0.012593778781592846,0.0,0.0,0.0,0.049693334847688675,0.01972426101565361,0.04440822824835777,0.0,0.0,0.017729276791214943,0.07811680436134338,0.0,0.0,0.0,0.0,0.02367400750517845,0.0,0.1218382865190506,0.04345684498548508,0.016150228679180145,0.0,0.0,0.0,0.0,0.0,0.0,0.08944964408874512,0.0,0,0.0,0.0,0.06228892505168915,0.0,0.011906290426850319,0.054711900651454926,0.0,0.15059040486812592,0.0,0.0,0.03601284325122833,0.0,0.0,0.0,0.044368844479322433,0.031833745539188385,0.0,40
Slither,0.0,0.040555231273174286,0.0,0.0,0.0,0.0,0.0,0.0,0.04594508931040764,0.0,0.028440840542316437,0.07626096904277802,0.0,0.11964819580316544,0.0,0.013791254721581936,0.0,0.06925328820943832,0.0,0.0,0.0,0.016807571053504944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09446069598197937,0,0.02494252845644951,0.10434027761220932,0.016086166724562645,0.027111127972602844,0.0,0.027350779622793198,0.0,0.07981862127780914,0.0,0.020398009568452835,0.0,0.0,0.03531830385327339,0.0,0.0,0.027720076963305473,0.030449286103248596,13
