song_name,tabs
Bitter Sweet Symphony,"E,Esus4,Asus4,A,E,Esus4,Asus4,A,E,Esus4,Asus4,A,E,Esus4,Asus4,A,E,Esus4,A,E,Esus4,Asus4,A,E,Esus4,Asus4,A,E,Esus4,Asus4,A,E,Esus4,A,E,Esus4,Asus4,A,E,Esus4,Asus4,A,E,Esus4,Asus4,A,E,Esus4,Asus4,A,E,Esus4,Asus4,A"
Say It Ain't So,"Am,E,F,C,Am,E,F,C,Am,E,F,C,Am,E,F,C,Am,E,F,C,Am,E,F,C,Am,E,F,C,Am,E,F,C,Am,E,F,C,Am,E,F,C,Am,E,F,C,Am,E,F,C,Am,E,F,C,Am,Am,E,E,F,C,Am,Am,E,E,F,C,Am,Am,E,E,F,C,Am,Am,E,E,F,C,Am,E,F,C,Am,E,F,C,Am,Am,E,F,F,C,Am,E,F,C,Am,Am,E,E,F,C,Am,Am,E,E,F,C,Am,Am,E,E,F,C,Am,Am,E,E,F,C,G,G,G/F#,G/F#,C,C,Eb,Eb,G,G,G/F#,G/F#,C,C,Eb,Eb,G,G,G/F#,G/F#,C,C,Eb,Eb,G,G,G/F#,G/F#,C,C,Eb,Eb,Am,E,F,C,Am,E,F,C,Am,Am,E,E,F,C,Am,Am,E,E,F,C,Am,Am,E,E,F,C,Am,Am,E,E,F,C"
Louie Louie,"A,D,G5,A,D,G5,D,A,D,G5,D,A,A,D,G5,D,A,A,D,G5,D,A,D,G5,D,A,A,D,G5,D,A,A,D,G5,D,A,A,D,G5,D,A,A,D,G5,D,A,A,A,D,G5,D,A,A,D,G5,D,A,A,D,G5,D,A,A,D,G5,D,A,A,D,G5,D,A,A,D,G5,D,A,A,D,G5,D,A,A,D,G5,D,A,A,D,G5,D,A,A,D,G5,D,A,A,D,G5,D,A,A,D,G5,D,A,A,D,G5,D,A,A,D,G5,D,A,A,D,G5,D,A,A,D,G5,D,A"
Me and Bobby McGee,"G,G,G,G,G,G,G,G,G,D7,D7,D7,D7,D7,D7,D7,D7,G,G,G,G,G,G,G,G7,C,C,C,C,G,G,D7,D7,D7,D7,C,C,G,G,D7,D7,G,G,C,C,G,G,D7,D7,D7,D7,D7,D7,G,G,A,A,A,A,A,A,A,A,E7,E7,E7,E7,E7,E7,E7,E7,A,A,A,A,A,A,A,A7,D,D,D,D,A,A,E7,E7,E7,E7,D,D,A,A,E7,E7,A,A,D,D,A,A,E7,E7,E7,E7,E7,E7,A,A,A,A,A,A,A,A,E7,E7,E7,E7,E7,E7,E7,E7,A,A,A,A,A,A,A,A,E7,E7,E7,E7,E7,E7,E7,E7,A,A,A,A,A,A,A,A,E7,E7,E7,E7,E7,E7,E7,E7,A,A,A,A,A,A,A,A,E7,E7,E7,E7,E7,E7,E7,E7,A,A,A,A,A,A,A,A,E7,E7,E7,E7,E7,E7,E7,E7,A,A,A,A,A,A,A,A,E7,E7,E7,E7,E7,E7,E7,E7,A,A"
Last Nite,"C,C,Dm,G,Em,Dm,C,Dm,G,Em,Dm,C,Dm,G,Em,Dm,F,G,F,G,F,G,F,G,C,Dm,G,Em,Dm,C,Dm,G,Em,Dm,C,F,G,F,G,F,G,F,G,F,G,C,Dm,G,Em,Dm,C,Dm,G,Em,Dm,C,F,G"
Don't You (Forget About Me),"Em7,D,E,D,Em7,C,D,D,E,D,Em7,C,D,E,D,A,D,E,D,A,D,E,D,A,D,E,D,A,D,E,D,A,D,E,D,A,D,C,G,D,A,C,G,D,A,D,E,D,Em7,C,D,D,E,D,Em7,C,D,E,D,A,D,E,D,A,D,E,D,A,D,E,D,A,D,E,D,A,D,E,D,A,D,D,E,D,A,D,E,D,A,D,E,D,A,D,E,D,A,D,E,D,A,D,E,D,A,D"
Alive,"A,G,C,F,E,D,Esus,Asus,B,Badd9,A,G,A,G,A,G,A,G,F,G,C,A,G,A,G,A,G,A,G,A,G,A,G,A,G,A,G,F,G,C,F,G,C,E,G,D,A,E,G,D,A,E,G,D,A,E,G,A,A,G,A,A,G,A,G,A,G,A,G,A,G,A,G,A,G,F,G,C,F,G,C,E,E,G,D,A,E,G,D,A,E,G,D,A,E,G,A,E,G,A,E,G,A,E,G,A,E,G,A,A,Esus,Asus,A,Esus,A,A,Esus,Asus,A,Esus,Asus,B,Badd9,B,Badd9,B,B,Badd9,B,E,G,D,A,E,G,D,A,E,G,D,A,E,G,A"
"""Paint It","Em,B,Em,Em,B,Em,B,Em,D,G,D,Em,Em,D,G,D,A,B,Em,B,Em,B,Em,D,G,D,Em,Em,D,G,D,A,B,Em,B,Em,B,Em,D,G,D,Em,Em,D,G,D,A,B,Em,B,Em,B,Em,D,G,D,Em,Em,D,G,D,A,B,Em,B,Em,B,Em,D,G,D,Em,Em,D,G,D,A,B,Em,B,Em,B,Em,B,Em,B"
Stuck In The Middle With You,"D,D,G7,D,A,C,G,D,D,D,G7,D,A,C,G,D,G7,D,G7,D,A7,D,D,G7,D,A,C,G,D,D,D,D,D,G7,G7,D,D,A,C,G,D,D,G7,D,G7,D,A7,D,D,G7,D,A,C,G,D,D,D,D,D,D"
Mr. Brightside,"C,F,C,F,C,F,C,F,C,F,Am,G,F,Am,G,F,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,C,F,C,F,C,F,Am,G,F,Am,G,F,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G,C,F,Am,G"
