song_name,tabs
No Wrong,"G,Cm,G,Em,Dm,C,G,Cm,G,Em,Dm,C,C,Dm,Am,G,C,Am,G,C,G,Cm,G,Em,Dm,G,Cm,G,Em,Dm,C,G,Cm,G,Em,Dm,C,C,Dm,Am,G,C,Am,G,C,G,C,D,D#m,Em,G,G,C,D,Em,D,Em,F,G,Am,Bm,C,G,Cm,G,Em,Dm,C,G,Cm,G,Em,D,C,Em,Am,G,C,Am,G,C,Em,G,C,Am,Em,G,C,G,Am,G,C,G"
Splintered,"Am,C,G,F,G,Am,C,G,F,G,Am,C,G,F,G,Am,C,G,F,G,Am,C,G,F,G,Am,C,G,F,G,Am,C,G,F,G,Am,C,G,F,G,Am,C,G,F,G,Am,C,G,F,G,Am,C,G,F,G,Am,C,G,F,G,Am,C,G,F,G,Am,C,G,F,G"
The Lengths,"C,Fmaj7,C,Fmaj7,C,Fmaj7,C,Fmaj7,C,Fmaj7,C,Fmaj7,C,Fmaj7,C,Fmaj7,G,Fmaj7,C,C,Fmaj7,C,Fmaj7,C,Fmaj7,C,Fmaj7,C,Fmaj7,C,Fmaj7,C,Fmaj7,C,Fmaj7,G,Fmaj7,C,C,Fmaj7,C,Fmaj7,C,Fmaj7,C,Fmaj7,C,Fmaj7,C,Fmaj7,C,Fmaj7,C,Fmaj7,G,Fmaj7,C"
Overpass Graffiti,"Am,G,Fmaj7,Am,G,Fmaj7,Am,G,Fmaj7,G,Am7,Fmaj7,G,Am7,Fmaj7,G,C,G,Dm,C,F,C,G,Dm,C,F,G,G,Am,G,Fmaj7,Am,G,Fmaj7,Am,G,Fmaj7,G,Am7,Fmaj7,G,Am7,Fmaj7,G,C,G,Dm,C,F,C,G,Dm,C,F,G,G,Am,G,Fmaj7,C,G,Dm,C,F,C,G,Dm,C,F,G,G,Am"
Easy On Me,"C,Am7,Em,Fmaj7,G,C,Am7,Em,Fmaj7,Fmaj7,C,Am7,G,Dm,C,Fmaj7,C,Am7,G,Dm,C,Fmaj7,C,Am7,Em,Fmaj7,G,C,Am7,Em,Fmaj7,G,C,Am7,Em,Fmaj7,Fmaj7,C,Am7,G,Dm,C,Fmaj7,C,Am7,G,Dm,C,Fmaj7,C,Am7,Em,Fmaj7,C,Am7,Em,Fmaj7,Fmaj7,G,C,Am7,G,Dm,C,Fmaj7,C,Am7,G,Em,Am7,C,Fmaj7,C,Am7,Em,Fmaj7"
Heat Waves,"C#m7,C#m,B,G#m,F#,C#m7,C#m,B,G#m,F#,C#m,B,G#m,F#,C#m,B,G#m,F#,C#m,B,G#m,F#,C#m,B,G#m,F#,E,B,G#m,F#,C#m,B,G#m,F#,E,B,G#m,F#,C#m,B,G#m,F#,E,B,G#m,F#,C#m,B,G#m,F#,E,B,G#m,F#,E,B,G#m,F#,E,B,G#m,F#,C#m,B,G#m,F#,E,B,G#m,F#,C#m,B,G#m,F#,C#m,B,G#m,F#,C#m,B,G#m,F#,E,F#,G#m,F#,C#m,B,G#m,F#,E,B,G#m,F#,C#m,B,G#m,F#,E,B,G#m,F#,E,E,F#,F#,G#m,G#m,B,B,B,B,E,F#,G#m,D#,E,F#,G#m,B,C#m,B,G#m,F#,E,B,G#m,F#,C#m,B,G#m,F#,E,B,G#m,F#,C#m,B,G#m,F#,E,B,G#m,F#,C#m,B,G#m,F#,E,B,G#m,F#,C#m,B,G#m,F#,E,G#m,C#m,F#"
MONEY,"Bm7,F#m7,Em,Bm7,Bm7,F#m7,Em,Bm7,Bm7,F#m7,Em,Bm,Bm"
Shivers,"Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A"
Woman,"Ebsus4,Eb,Ab/Eb,Eb,Eb,Fm7,Fm7,Eb,Cm,Fm,Bbsus4,Bb,Ab,Fm7,Gm,Bbsus4,B,Eb,Fm7,Fm7,Eb,Cm,Fm,Bbsus4,B,Ab,Fm7,Gm,Bbsus4,B,Ebmaj9,Cm7,Fm7,Bb6,Eb,Fm7,Fm7,Eb,Cm,Fm,Bbsus4,B,Ab,Fm7,Gm,Bbsus4,B,Eb,Fm7,Fm7,Eb,Cm,Fm,Bbsus4,B,Ab,Fm7,Gm,Bbsus4,B,E,F#m7,E/G#,F#m7,E,C#m,F#m,Bsus4,B,A,F#m7,G#m,Bsus4,B,Emaj9,C#m7,F#m7,B6,Ebsus4,Eb,Fm7,Cm,Bbsus4,Bb,Ab,Gm,Ebmaj9,Bb6,Cm7,E,F#m7,E/G#,C#m,F#m,Bsus4,B,A,B6"
My Universe,"G,D,A,G,D,A,D,G,D,A,G,D,A,D,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,D,G,D,A,G,D,A,D,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,D,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,D,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,D,G,D,A,G,D,A,D,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A,G,D,A"
Cold Heart - PNAU Remix,"Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7,Em7,Am7,C,Bm7"
THATS WHAT I WANT,"C#m,F#m,G#m,B,E,A,C#m,G#m,B,C#m,G#m,B,C#m,G#m,B,C#m,G#m,B,C#m,G#m,B,F#m,A,G#m,C#m,G#m,B,C#m,G#m,B,C#m,G#m,B,F#m,A,G#m,C#m,G#m,B,C#m,G#m,B,C#m,G#m,B,F#m,A,G#m,A,E,B,C#m,A,E,B,C#m,A,E,B,C#m,A,E,B,G#m,C#m,G#m,B,C#m,G#m,B,C#m,G#m,B,F#m,A,G#m,C#m,G#m,B,C#m,G#m,B,C#m,G#m,B,F#m,A,G#m,C#m,G#m,B,C#m,G#m,B,C#m,G#m,B,F#m,A,G#m,A,E,B,C#m,A,E,B,C#m,A,E,B,C#m,A,E,B,G#m,A,E,B,C#m,A,E,B,C#m,A,E,B,C#m,A,E,B,G#m"
Ghost,"Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Em,F#m,G,G,Bm,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,D,A,Bm,G,D,A,Bm,G,D,A,Em,F#m,G,G,Bm,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A,Bm,G,D,A"
Bad Habits,"Bm,Dmaj7,Gsus2,A,Em7,G,D,F#m,Bm,Dmaj7,Gsus2,A,Bm,Dmaj7,Gsus2,Bm,Dmaj7,Gsus2,Bm,Dmaj7,Gsus2,Bm,Dmaj7,Em7,Bm,Dmaj7,Gsus2,A,Bm,Dmaj7,Em7,G,Bm,Dmaj7,Gsus2,A,Bm,Dmaj7,Em7,G,Bm,Dmaj7,Gsus2,A,Bm,Dmaj7,Em7,G,A,Bm,Bm,Dmaj7,Gsus2,Bm,Dmaj7,Gsus2,Bm,Dmaj7,Gsus2,Bm,Dmaj7,Em7,Bm,Dmaj7,Gsus2,A,Bm,Dmaj7,Em7,G,Bm,Dmaj7,Gsus2,A,Bm,Dmaj7,Em7,G,Bm,Dmaj7,Gsus2,A,Bm,Dmaj7,Em7,G,Bm,Dmaj7,F#m,G,A,Bm,Dmaj7,F#m,Em7,Bm,Dmaj7,Gsus2,A,Bm,Dmaj7,Em7,G,Bm,Dmaj7,Gsus2,A,Bm,Dmaj7,Em7,G,Bm,Dmaj7,Gsus2,A,Bm,Dmaj7,Em7,G,A,Bm,Bm,Dmaj7,Gsus2,A,Bm,Dmaj7,Em7,G"
good 4 u,"F#m,E,F#m,E,F#m,E,F#m,E,F#m,E,D,C#7,F#m,E,F#m,E,F#m,E,D,C#7,D,A,E,F#m,E,D,A,E,F#m,E,D,A,E,F#m,E,D,A,E,F#m,E,F#m,E,B,F#m,E,B,E,F#m,E,F#m,E,D,C#7,F#m,E,F#m,E,F#m,E,D,C#7,D,A,E,F#m,E,D,A,E,F#m,E,D,A,E,F#m,E,D,A,E,F#m,E,F#m,E,B,F#m,E,B,D,A,E,F#m,E,D,A,E,F#m,E,F#m,E,B,F#m,E,B,F#m,E,B,F#m,E,B,F#m,E,B,F#m,E,B,F#m,E,B,F#m,E,B,D,A,E,F#m,E,D,A,E,D,A,E,F#m,E,D,A,E,F#m,E,F#m,E,B,F#m,E,B,F#m,E,B,F#m"
Need to Know,"Bbm,B,Bbm,B,B,Bbm,Bbm,B,B,Bbm,B,Bbm,Bbm,B,B,Bbm,B,Bbm,Bbm,B,B,Bbm,Bbm,B,B,Bbm,Bbm,B,B,Bbm,Bbm,Bbm,B,B,B,Bbm,Bbm,Bbm,B,B,B,Bbm,Bbm,Bbm,B,B,Bbm,Bbm,Bbm,B,B,Bbm,B,Bbm,Bbm,B,B,Bbm,B,Bbm,B,Bbm,B,Bbm,Bbm,B,B,Bbm,Bbm,B,B,Bbm,B,B,Bbm,B,B,Bbm,Bbm,B,B,Bbm,B,Bbm,Bbm,B,B,Bbm,B"
Oh Na Na,"Fmaj7,G,Em,F,Fmaj7,G,Em,F,Fmaj7,G,Em,Em,F,Fmaj7,G,Em,F,F,Fmaj7,Fmaj7,G,G,Em,Em,F,Fmaj7,G,Em,F,Fmaj7,G,Em,F,F,Fmaj7,G,Em,F,Fmaj7,G,Em,F,Fmaj7,Fmaj7,G,G,Em,Em,F,Fmaj7,G,Em,F,F,Fmaj7,Fmaj7,G,G,Em,Em,F,F"
Don't Be Shy,"G,D,C,D2,A,E,D,E2,A,E,D,E2,A,E,D,E2,A,E,D,E2,A,E,D,E2"
Life Goes On,"G,Gmaj7,Cmaj7,Cm,G,Gmaj7,Cmaj7,Cm,G,Gmaj7,Cmaj7,Cm,G,Gmaj7,Cmaj7,Cm,G,Gmaj7,Cmaj7,Cm,G,Gmaj7,Cmaj7,Cm,G,Gmaj7,Cmaj7,Cm,G,Gmaj7,Cmaj7,Cm,G,Gmaj7,Cmaj7,Cm,G,G,Gmaj7,Cmaj7,Cm,G,Gmaj7,Cmaj7,Cm,G,Gmaj7,Cmaj7,Cm,G,Gmaj7,Cmaj7,Cm,G,Gmaj7,Cmaj7,Cm,G,Gmaj7,Cmaj7,Cm,G,G,Gmaj7,Cmaj7,Cm,G,Gmaj7,Cmaj7,Cm"
Beggin',"Em/C#,C#m7b5,Bm,Bm,Bm,Bm,Bm,G,Em,F#7,Bm,G,Em,F#7,Bm,G,Em,F#7,Bm,G,Em,F#7,Bm,G,Em,F#7,Bm,G,Em,F#7,Bm,Bm,G,Em,F#7,Bm,G,Em,F#7,G,Em,F#7,Bm,G,Em,F#7,Bm,G,Em,F#7,Bm,G,Em,F#7,Bm,G,Em,F#7,Bm,G,Em,F#7,Bm,G,Em,F#7,Bm,G,Em,F#7,Bm,G,Em,F#7,G,Em,F#7,Bm,G,Em,F#7,Bm,G,Em,F#7,Bm,G,Em,F#7,Bm,G,Em,F#7,Bm,G,Em,F#7,Bm,G,Em,F#7,Bm,G,Em,F#7,Bm"
MONTERO (Call Me By Your Name),"E,F,F,E,E,F,F,E,E,F,F,G,F,E,E,F,F,G,F,E,E,F,F,E,E,F,F,E,F,F,G,F,E,E,F,F,G,F,E,E,F,F,G,F,E,E,F,F,G,F,E,E,F,F,E,E,F,F,E,F,F,E,E,F,F,E,E,F,F,E,E,F,E,F,F,E,E,F,F,E,F,F,G,F,E,E,F,F,G,F,E,E,F,G,F,E,E,F,G,F,E,E,F,F,G,F,E,E,F,F,E,F,G,F,E,E,F,G,F,E"
Where Are You Now,"Em,Bm,C,D,Am,B,Em,Bm,C,D,Em,Bm,C,D,Em,Bm,C,D,Em,Bm,C,D,Em,Bm,C,D,Am,B,C,D,Em,D,Am,C,Em,D,Am,C,Em,D,Am,C,Em,D,Em,Bm,C,D,Em,Bm,C,D,Em,Bm,C,D,Em,Bm,C,D,Em,Bm,C,D,Em,Bm,C,D,Em,Bm,C,D,Em,Bm,C,D,Em,Bm,C,D,Em,Bm,C,D,Em,Bm,C,D,Am,B,C,D,Em,D,Am,C,Em,D,Am,C,Em,D,Am,C,Em,D,Em,Bm,C,D,Em,Bm,C,D,Em,Bm,C,D,Em,Bm,C,D,Em,Bm,C,D,Em,Bm,C,D,Em,Bm,C,D,Em,Bm,C,D,Em,D,Em,D"
Pepas,"Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D,Am,Em,G,D"
Take My Breath,"Cm,Cm,Ab,Cm,Ab,Cm,Ab,Cm,Ab,Bb,Cm,Bb,Cm,Bb,Cm,Bb,G,Cm,Cm,Bb,Ab,Ab,Cm,Cm,Bb,Ab,Cm,Ab,Cm,Ab,Bb,Cm,Bb,Cm,Bb,Cm,Bb,G,Cm,Cm,Bb,Ab,Ab,Cm,Cm,Bb,Ab,Ab,Cm,Ab,Gm,Cm,Ab,Gm,Cm,Ab,Gm,Cm,Ab,Gm,Cm,Cm,Bb,Ab,Ab,Cm,Cm,Bb,Ab,Ab,Cm,Bb,Ab,Cm,Cm,Cm,Bb,Ab,Ab"
Meet Me At Our Spot,"D,G,F#m,D,G,F#m,D,G,F#m,Bm,G,A/C#,D,G,F#m,D,G,F#m,D,G,F#m,Bm,G,A/C#,D,G,F#m,D,G,F#m,D,G,F#m,Bm,G,A/C#,D,G,F#m,D,G,F#m,D,G,F#m,Bm,G,A/C#,D,G,F#m,D,G,F#m,D,G,F#m,Bm,G,A/C#,D,G,F#m,D,G,F#m,D,G,F#m,Bm,G,A/C#,D,G,F#m,D,G,F#m,D,G,F#m,Bm,G,A/C#,D,G,F#m,D,G,F#m,D,G,F#m,Bm"
GHOST TOWN,"F,G,Em,Am,F,G,Em,Am,F,G,Em,Am,F,G,Em,Am,F,G,C,Am,G,F,G,C,Am,G,F,G,C,Am,F,G,Em,Am,F,G,Em,Am,F,G,Em,Am,F,G,C,Am,G,F,G,C,Am,G,F,G,C,Am,G,F,G,C,Am,G,F,G,Em,Am,F,G,Em,Am,F,G,C,Am,G,F,G,C,Am,G,F,G,C,Am,G,F,G,C,Am,G,F,G,C,Am,G,F,C,Am"
traitor,"C,G,Am,Fmaj7,Fm,C,G,Am,Fmaj7,C,Bdim,Am,Fmaj7,C,G,Am,Fmaj7,C,G,Am,Fmaj7,C,G,Am,Fmaj7,C,G,Am,Fmaj7,C,G,Am,Fmaj7,C,G,Am,Fmaj7,C,G,Am,C,G,Am,Fmaj7,C,G,Am,Fmaj7,C,G,Am,Fmaj7,C,G,Am,Fmaj7,C,G,Am,Fmaj7,C,G,Am,Fmaj7,C,G,Am,C,G,Am,Fmaj7,C,G,Am,Fmaj7,C,G,Am,Fmaj7,C,G,Am,Fmaj7,C,G,Am,Fmaj7,C,G,Am,Fmaj7,C,G,Am,Fm"
Let Somebody Go,"C,G,F,C,G,C,G,F,C,G,C,G,F,C,Dm,C,G,Am,G,F,C,Dm,C,G,F,Am,G,F,C,G,F,G,C,C,G,F,C,G,C,G,F,C,Dm,C,G,Am,G,F,C,Dm,C,G,F,Am,G,F,C,G,F,G,C,C,G,F,C,G,C,G,F,C,G,C,G,F,C,G,C,G,F,C,G,C,G,F,G,C,G,F,G,Am,G,C,G,F,G,Em,F,C,G,F,C,G,C,G,F,C,G,C,G,F,C,G,C,G,F,C,G,Am,G,C,F"
Acapulco,"C,G,B7,Em,C,G,B7,Em,C,G,B7,Em,C,G,B7,Em,C,G,B7,Em,C,G,B7,C,G,B7,Em,C,G,B7,Em,C,G,B7,Em,C,G,B7,C,G,Em,C,G,B7,Em,C,G,B7,Em,C,G,B7,C,G,B7,Em,C,G,B7,Em,C,G,B7,Em,C,G,B7,Em,C,G,B7,Em,C,G,B7,Em"
Toxic,"G#m,F#,E,D#,G#m,F#,E,D#,E,B,D#,G#m,F#,E,B,D#,G#m,F#,E,B,D#,G#m,F#,E,B,D#,G#m,F#,E,B,G#m,F#,E,B,G#m,F#,E,B,D#,G#m,F#,E,B,D#,E,B,D#,G#m,F#,E,B,D#,G#m,F#,E,B,D#,G#m,F#,E,B,D#,G#m,F#,E,B,D#,G#m,F#,E,B,D#,E,B,D#,G#m,F#,E,B,D#,G#m,F#,E,B,D#,G#m,F#,E,B,D#,E,B,D#,G#m,F#,E,B,D#,G#m,F#,E,B,D#,G#m,F#,E,B,D#"
2055,"Em,Bm,C,C,Em,Bm,C,C,Em,Bm,C,C,Em,Bm,C,C,Em,Bm,C,C,Em,Bm,C,C,Em,Bm,C,C,Em,Bm,C,C,Em,Bm,C,C,Em,Bm,C,C,Em,Bm,C,C,Em,Bm,C,C,Em,Bm,C,C,Em,Bm,C,C,Em,Bm,C,C,Em,Bm,C,Em,Bm,C,C,Em,Bm,C,C"
Don't Go Yet,"Am,G,F,G,Am,G,F,G,Am,G,F,G,Am,G,F,G,Am,G,F,G,Am,G,F,G,Am,G,F,G,Am,G,F,G,Am,G,F,G,Am,G,F,Am,G,F,G,Am,G,F,G,Am,G,F,G,Am,G,F,G,Am,G,F,G,Am,G,F,G,Am,G,F,G,Am,G,F,E7,Am,G,F,G,Am,G,F,Am,G,F,G,Am,G,F,G,Am,G,F,G,Am,G,F,G,Am,G,F,G,Am,G,F,G,Am,G,F,E7,Am,G,F,Am,G,F,G,Am,G,F,G,Am,G,F,G,Am,G,F,E7,Am,G,F,G,Am,G,F,E7"
A-O-K,"G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C,G,C"
Hurricane,"Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,C,G,Em,D,C,G,Em,D,C,G,Em,D,C,G,D,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,C,G,Em,D,C,G,Em,D,C,G,Em,D,C,G,D,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,C,G,D/F#,C,G,Em,D,C,G,Em,D,C,G,Em,D,C,G,D,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#"
Have Mercy,"Gsus2,E9,D,D6,D7,Gsus2,E9,G,A7,D,D6,D7,Gsus2,E9,G,A7,D,D6,D7,Gsus2,E9,G,A7"
Just for me,"C,Am,C,Am,C,Am,G,C,Am,C,C,Am,C,Am,C,Am,C,Am,C,Am,C,Am,G,C,Am,G,C,C,Am,C,Am,C,Am,C,G,Am,C"
MAMMAMIA,"G#5,E5,D#5,E5,A5,G#5,G#5,E5,D#5,E5,A5,G#5,G#5,E5,D#5,E5,A5,G#5,E5,D#5,E5,A5,G#5,E5,D#5,E5,A5,G#5,E5,D#5,E5,A5,G#5,D#5,E5,D#5,E5,D#5,E5,F#5,D#5,E5,F#5,D#5,E5,F#5,D#5,E5,G#5,E5,D#5,E5,A5,G#5,G#5,E5,D#5,E5,A5,G#5,E5,D#5,E5,A5,G#5,E5,D#5,E5,A5,G#5,E5,D#5,E5,A5,G#5,E5,D#5,E5,A5,G#5,D#5,E5,D#5,E5,D#5,E5,F#5,D#5,E5,F#5,D#5,E5,F#5,D#5,E5,G#5,G#5,D#5,E5,F#5,D#5,E5,F#5,D#5,E5,F#5,D#5,E5,G#5,D#5,E5,D#5,E5,D#5,E5,D#5,E5"
Leave The Door Open,"Fmaj7,Em7,Am7,Ebmaj7,Abadd9,Abmaj7,Gm7,Fm7,G7sus4,Cmaj7,A7,Gbadd9,F7sus4,Gb,Ab,Ab7sus4,Gbmaj7,Ab7,Fm7,Bbm7,Dbmaj7,Bb7,A,Fmaj7,Em7,Am7,Fmaj7,Fmaj7,Em7,Am7,Fmaj7,Em7,Am7,Ebmaj7,Abadd9,Abmaj7,Gm7,Fm7,G7sus4,Fmaj7,Em7,Am7,Fmaj7,G7sus4,Cmaj7,A7,Fmaj7,Em7,Am7,Fmaj7,Em7,Am7,Ebmaj7,Abadd9,Abmaj7,Gm7,Fm7,G7sus4,Fmaj7,Em7,Am7,Fmaj7,G7sus4,Cmaj7,A7,Abadd9,G7sus4,Abadd9,G7sus4,Gbadd9,F7sus4,Gb,Ab,Ab7sus4,Ab,Ab,Gbmaj7,Ab/Gb,Fm7,Bbm7,Gbmaj7,Ab7sus4,Dbmaj7,Bb7,A,Ab,Dbmaj7,Bb7,A,Ab,Dbmaj7,Bb7,A,Ab,Dbmaj7,Bb7,A"
I GUESS I'M IN LOVE,"G,C,G,C,C,C,F,C,C,G,C,G,C,Am,F,G,C,Am,F,C,C,Am,Am,F,Am,G,C,Am,F,C,Am,F,C"
Acapulco,"C,G,B7,Em,C,G,B7,Em,C,G,B7,Em,C,G,B7,Em,C,G,B7,Em,C,G,B7,C,G,B7,Em,C,G,B7,Em,C,G,B7,Em,C,G,B7,C,G,Em,C,G,B7,Em,C,G,B7,Em,C,G,B7,C,G,B7,Em,C,G,B7,Em,C,G,B7,Em,C,G,B7,Em,C,G,B7,Em,C,G,B7,Em"
Dynamite,"C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m,B,E,C#m,F#m,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,E,C#m,F#m7,B,D#m,G#m7,C#,F#,D#m,G#m7,C#,F#,D#m,G#m7,C#,F#,D#m,G#m7,C#,F#,D#m,G#m,C#,F#,D#m,G#m,C#,F#,D#m,G#m7,C#,F#,D#m,G#m7,C#,F#"
Daylight,"D,G,A,D,G,A,Bm,G,D,G,A,Bm,G,D,G,A,D,D,Bm,G,D,D,Bm,G,D,D,Bm,G,D,D,Bm,G,D,D,G,A,D,G,A,Bm,G,D,G,A,Bm,G,D,G,A,D,D,Bm,G,D,D,Bm,G,D,D,Bm,G,D,D,Bm,G,D,A,G,D,A,G,D,D,Bm,G,D,D,Bm,G,D,D,Bm,G,D,D,Bm,G,D,D,Bm,G,D,D,Bm,G,D,D,Bm,G,D,D,Bm,G,D"
Puppet,"Am,G,Dm,G,Am,G,Dm,C,F,Em,Dm,G,Am,G,Dm,C,F,Em,Dm,G,Am,G,Dm,C,F,Em,Dm,G,Am,G,Dm,C,F,Em,Dm,Am,G,Dm,C,F,Em,Dm,G,Am,G,Dm,C,F,Em,Dm,G,Am,G,Dm,C,F,Em,Dm,G,Am,G,Dm,C,F,Em,Dm,Am,G,Dm,C,F,Em,Dm,G,Am,G,Dm,C,F,Em,Dm,G,Am,G,Dm,C,F,Em,Dm,G"
Kiss of Life,"A,F#m,D,C#m7,Bm7,F#m,A,F#m,D,C#m7,Bm7,F#m,A,F#m,D,C#m7,Bm7,F#m,Bm7,F#m,Bm7,F#m,Bm7,F#m,Bm7,F#m,A,F#m,D,C#m7,Bm7,F#m,A,F#m,D,C#m7,Bm7,F#m,Bm7,F#m,Bm7,F#m,Bm7,F#m,Bm7,F#m,A,F#m,D,C#m7,Bm7,F#m,Bm7,F#m,Bm7,F#m,Bm7,F#m,Bm7,F#m"
I Got A Feeling,"Gb,Db,Gb,Db,Db,Bbm,Db,Gb,Bbm,Ebm,Bbm,Gb,Db,Ab,Bbm,Ab,Gb,Db,Ebm,Bbm,Db,Ab,Bbm,Ebm,Fm,Gb,Ebm,Db,Bbm,Ebm,Db,F#,Ab,Ab,Gb,Gb,Db,Fm,Bbm,F#,Bbm,Ebm,Db,Gb,Db,Fm,Bbm,Ab,Gb,Bbm,Ebm,Db,Gb,Db,Fm,Bbm,Ebm,Fm,Db,Gb,Ebm,Ebm,Ebm,Ebm,Db,Ab,Bbm,Ab,Gb,Db,Ebm,Db,Gb,Db,Ab,Bbm,Db,Gb,Bbm,Ebm,Db,Gb,Db,Bbm,Db,Gb,Db,Ebm,Bbm,Gb,Db,Bbm,Ebm,Db,Gb,Ebm,Db,Fm,Bbm,Ebm,Fm,Db,Gb,Ebm,Db,Fm,Bbm,Db,Gb,Db,Ebm,Db,Ab,Bbm,Db,Gb,Db,Ebm,F,C,F,C,C,Am,C,F,Am,Dm,Am,F,C,G,Am,G,F,C,Dm,Am,C,G,Am,Dm,Em,F,Dm,C,Am,Dm,C,F,G,G,F,F,C,Em,Am,F,Am,Dm,C,F,C,Em,Am,G,F,Am,Dm,C,F,C,Em,Am,Dm,Em,C,F,Dm,Dm,Dm,Dm,C,G,Am,G,F,C,Dm,C,F,C,G,Am,C,F,Am,Dm,C,F,C,Am,C,F,C,Dm,Am,F,C,Am,Dm,C,F,Dm,C,Em,Am,Dm,Em,C,F,Dm,C,Em,Am,C,F,C,Dm,C,G,Am,C,F,C,Dm"
Your Man,"C,G,D,G,C,G,D,G,C,G,D,G,Am,G,Am,Bm,C,D,C,G,D,G,C,G,D,G,C,G,D,G,Am,G,Am,Bm,C,D,C,G,D,G,C,G,D,G,D,G,C,G,D,G"
How Will I Know,"C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,D,Em,C,D,D,Em,C,D,D,Em,C,D,D,Em,C,D,D,Em,C,D,D,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em"
